kristal_id,asset_id
14834,
14954,1294289
25163,1289765
6309,
3042,
13781,
2900,1269365
23183,1298270
14789,1294156
2032,
13406,
13511,1290453
2270,5077
13395,1290218
2885,1266157
5100,1281127
14457,1293743
16057,
15884,
16187,
13648,1276729
3696,1278284
1666,
2276,4395
3056,
16060,
2109,
3483,1276774
16188,
20213,1296943
13990,1293328
16446,114410
1193,
6046,1282138
3536,1277284
3247,1274897
16189,
2803,1266127
14970,1294331
2851,
16190,
22919,1298140
14912,1294270
16191,
5089,1281114
1712,
5189,1281248
14893,1294252
13905,
14096,264344
14931,1294295
2908,1269380
14472,1293856
23983,1298681
3106,1273069
3654,1277885
12526,1288941
13662,212085
14407,1293793
16052,
14744,1294115
4625,1280420
3141,1273089
15849,1294857
4991,1280963
5483,1281476
2473,
1785,
13656,1290701
13732,
3263,1274926
14048,1293390
13440,1290330
14342,1293728
3643,1277863
2371,
3020,1271373
1633,
2163,
2499,
5485,1281609
2966,1269908
2815,1267536
2468,
13514,1290464
2898,1269369
25010,1299833
2918,1269340
15336,
13192,1289694
1516,
14423,1293809
2936,1269354
15112,1294461
2285,
2912,1269378
3254,1274905
15633,1295006
16140,1295710
14696,1294075
2150,
2040,
13010,1289431
14299,28690
14266,1293657
14270,1293562
14406,1293792
15006,1294366
22095,1297602
14208,
12681,1289060
13796,
15631,1295004
4031,1279364
2916,1269379
12417,114982
12380,28951
2920,1269372
2935,1269367
3212,1273111
14973,1294334
15398,
2273,224535
10136,1286723
13437,1290327
12917,1289273
13731,1283918
2282,
7069,1283260
13528,1290498
9443,1285007
2939,1269355
15959,1295506
14572,1293940
2906,1269387
2504,
25012,1299833
2928,1269376
468,
1443,
3392,1276060
2933,1269382
2759,1266101
14175,1293540
1746,
13243,1289765
2609,1263368
12519,133915
1684,
13782,
3250,1274901
3445,1276380
3313,1275315
1239,
14677,27383
5001,1280966
2161,
13964,1293315
1506,
11786,1287944
3253,1274904
13841,1290938
2922,1269368
2343,186329
13449,1290335
1200,
1040,
14367,1293748
25013,1299833
25014,1299833
2257,
2021,
2904,1269347
13904,1291031
4956,1280957
13110,1289595
6088,1282137
14205,1293568
2418,
13344,1290098
14832,1294194
2938,1269385
13724,1290804
20511,1297008
2899,1269374
15099,1294429
2924,1269384
15643,1295016
15366,1294732
2897,1269364
14556,1293940
15096,1294439
2155,
22393,1297719
13111,1289596
3259,1274922
14555,1287389
15645,1295018
18631,1296593
14798,1294165
2934,1269373
2215,
12512,4142
3243,1274894
16118,
2485,
3425,25468
12916,1289272
14907,1294275
3248,1274898
2269,5128
20906,1297122
12875,1289237
13343,1290097
3489,1276784
15261,
2283,4990
14396,1293756
2919,1269362
24178,1298766
14368,1293749
3146,1273791
14374,106432
13954,93003
541,
13478,1290385
3236,1274881
3365,1275998
14137,1293459
3260,1274923
13837,1290934
29,
4264,1279576
24272,1298892
2030,
6573,1282797
4823,1280849
5285,1281344
3228,1274702
14148,1293499
15134,1294483
16320,1295950
6572,1282796
16327,1295955
16513,1296203
4460,1280000
1940,4169
1997,26564
2274,4646
13205,1289702
9773,1285634
15882,
14348,
22397,1297723
3509,1228494
15085,1294428
14902,1294268
13675,
13218,1289723
2946,1266165
13451,1290349
2665,
2120,
2505,
2581,
14963,1294321
16162,1295742
2106,
13490,1290426
19851,1296885
2592,
3403,1276194
2422,1251924
19982,1296905
21468,1297278
2330,
2287,
13342,1290093
14161,1293524
14923,1294287
13239,1289761
2145,
2572,
4064,1279397
24637,1299285
15319,1294548
23513,1298438
23414,1298376
2308,176453
5292,1281347
13132,1289640
103,
15883,
105,
2137,
3387,1276056
16223,
13383,1290187
12952,1289340
2397,1251131
17903,1296489
469,
19785,1296882
2113,
13652,52230
2446,1257768
24275,1298895
13316,1290045
13976,1293332
12746,1289132
2421,1251923
14022,1293374
14099,
12353,1288740
2558,1262601
13932,1293258
3376,1276046
2698,26611
14371,1293752
14673,1294037
4990,1280962
3967,1279166
14883,
5715,1281972
11754,1287912
13407,1290252
13236,1289758
6092,1282137
13380,1290191
13345,1290099
14540,
13622,1290630
12514,1288934
2146,
13272,1289801
23514,1298439
3680,1278136
13435,1290317
15342,1294698
13706,1290785
14351,
13844,1290939
6047,1282139
15079,1294428
13377,1290185
6374,1282565
2667,1263555
3493,4984
13246,1289762
1727,
1992,
13073,1289571
3480,1276731
23645,1298513
13251,1287377
13382,1290186
14369,1293750
23216,1298317
2227,
15155,1294506
16135,1295705
13381,91414
14809,1294174
13317,1290050
3110,1273414
2156,
13589,1290588
14884,1294247
15389,1294747
2595,1262603
14522,1293915
13227,1289745
13261,1289782
13512,1290455
3462,1276548
13999,1293351
13463,1290364
4692,1280457
15946,1295493
1398,
13225,1289622
14875,1294244
14782,1294154
9839,1285865
13267,1289788
14507,1293894
5054,1281057
13705,1290784
12684,1289063
1499,
14338,1293723
569,
13402,79407
22721,1298053
23515,1298440
13341,1290092
13394,
23516,1298441
14136,1293459
13329,1290074
2420,
5681,1281938
16006,
4995,1280966
14873,1294243
15980,262061
13203,80998
1647,
15074,1294427
3452,1276538
14880,1294245
3689,1278294
14483,1293868
4627,1280422
14138,1293489
13676,1290739
2742,548147
13849,1290947
14876,1294244
5010,1280966
3461,1276547
14889,1294248
2967,1266175
3533,1277153
3608,1277358
3488,1276784
13530,1290504
8585,1284545
3502,1276940
14799,1294159
20543,1297025
14852,
1657,
14247,1293643
1466,
12531,1288945
2579,
21269,1297218
2583,
15028,1294376
3606,133491
14723,
14100,264344
14269,1293658
12975,1289395
13122,1289566
2415,
449,
13398,1290222
2911,1269360
13067,1289555
14199,1293563
13136,1289642
52,
3867,1279039
13420,
15192,1294548
14990,133920
9212,1285007
2902,1269381
14715,1294093
13273,52669
13268,89647
13846,1208491
1630,
1226,
5290,1281347
13736,1228772
2557,1262600
13768,1290824
13862,1290962
13278,
14837,1294176
15845,1295204
11787,1287945
13263,77667
3456,1276542
12966,1289370
14872,1294242
13117,1289616
3233,1273118
3368,1276002
14797,1294164
1242,
3771,1278534
13131,1289639
13346,1290100
24305,1298898
13767,1290821
11952,1288254
5000,1280970
5007,1280957
466,
13135,1289641
14052,1293398
2455,1257769
14370,1293751
14825,1294165
2907,1269358
11730,1287879
3172,186137
11857,1288081
3613,1277496
13448,1290336
623,
21995,1297557
14143,1293495
15715,186326
16308,1295931
14569,1293940
14783,1294154
15646,1295019
3338,1275562
4461,1280057
1572,
3367,1276001
24473,1299002
5057,1281058
3389,1276057
6152,
2248,4150
3458,1276544
3476,1276728
3512,1277113
3453,1276539
15802,1295159
15416,1294776
13845,1290940
13436,1290326
19520,1289556
12685,1289060
13607,1290600
16314,1295938
1074,
12780,1289168
2925,1269353
13971,1293327
3159,1274138
2743,548802
2909,1269359
3454,1276540
24835,1299645
14202,1293459
12943,1289331
2910,1269349
13493,1290428
14375,1293753
13534,1290508
1822,
5094,1281122
14841,1294176
15629,1295002
3455,1276541
4592,
15520,1294881
2520,1262593
13320,1290059
13842,1290911
2896,1269357
9938,1286129
2694,
7397,1283654
13778,
13204,1289499
4398,1275323
2894,1269356
3213,1273112
3616,1277504
14331,
14570,1293940
3506,1276784
12677,1289056
14985,1294345
25003,1299831
6541,1282730
4494,1280001
15554,1294946
3569,228252
89,
7399,1283656
13854,1233163
13477,1290384
5093,1281119
3391,1276059
16429,1296084
3022,1266193
3353,1275824
14398,
2321,1245235
3409,1275831
15388,1294746
13507,1290444
3328,1275508
11390,
16003,1295545
20746,1297076
2671,27240
14752,1294010
14456,1293839
14108,1293459
2744,3840
2921,1269383
3133,1273082
14262,1293642
13269,1289789
13378,1290189
3396,1276066
5486,1281610
14847,1294212
15804,1295161
2676,1263557
4724,1280519
13970,1293326
16229,1295820
19884,1296888
3610,1212262
13707,1290786
2518,1262590
14384,1293756
6242,1282400
16550,1296282
2903,1269366
13259,1289780
8816,1284710
1945,5164
13244,1289766
13324,1290065
2755,1266097
9509,1285205
15078,1294428
15290,
14833,1294195
2239,1226572
5095,1281123
6476,1282666
3619,1277527
13869,23725
9674,1285271
14021,1293373
12949,1289339
2713,4100
7500,1283720
3769,1278284
1942,3834
1504,
3241,1274891
5487,1281611
1505,
2930,1269386
8057,1283984
13864,582517
3262,1274925
9675,1285272
3868,1279056
4498,1279497
5005,1280957
13457,1290355
4539,1280332
3244,1274895
2521,
14377,1293756
25005,1299831
2164,1226216
14111,1293373
14097,1293391
2814,1267773
11928,
3340,1275553
2926,1269348
15280,1294639
3612,1277489
13370,1290156
15070,1294421
13716,5108
2889,1266159
2932,1269371
3645,1277865
3246,1274884
13857,1290961
14656,1294019
13149,1289652
15033,1294382
16164,1295743
13134,1289640
3154,1273091
18068,1295422
13453,1290351
2561,
14421,1293791
11753,1287911
4464,1280060
25008,1299833
14853,
12686,1289069
5153,1281212
13658,1290698
13447,1290335
11819,1288010
3024,1271379
4493,1280090
14838,1294198
3112,1273419
13831,1290928
13819,1290909
14176,1293374
3370,1276002
3413,1276217
13460,1287086
2943,1266163
11788,1287946
16616,1296359
11852,1288076
11621,
14038,1293379
15084,1294429
14372,49338
6011,24401
15320,
14469,89455
13296,1289998
12960,1289358
3866,1279038
5009,1280970
3179,1273097
6540,1281674
13309,1290042
2879,1266154
6148,
11853,1288077
5188,1281247
3354,1275824
2784,1267199
13870,1290976
4999,1280969
14758,1294107
3226,1274700
2578,
14992,1294352
6545,
3235,1274880
3638,1277852
5121,1281181
13944,1293260
3517,1277116
11093,
12116,1288439
25262,1300287
12778,1289099
11324,
11357,
106,
16051,1295608
12352,1288739
3451,1276532
14560,1293940
2100,
3686,1278284
13386,51750
12525,1288940
16373,1295996
15328,
14212,1293497
3242,1274892
591,
9476,1285172
2817,1266134
13661,1290700
3397,1276055
15142,
3641,1277852
15549,1294941
3255,1274900
25263,1300288
3617,1277505
2394,
13871,1290975
2436,1253259
2346,1204830
3388,1276052
3230,1273115
13385,1290188
3499,1276937
2646,1263546
5154,1281213
3053,
12580,1288993
13872,364666
3197,1274538
19059,1296689
18431,1296551
12645,1289040
3675,1278279
20745,1297076
14967,240572
13659,1290699
12777,1289166
13847,1290944
1029,
13536,1290510
14564,372014
13384,1290192
15083,1294428
13050,1289504
13336,1290086
14865,
2734,1264394
3472,1273128
16210,1295803
16516,1296214
12682,1289061
2952,1266169
3208,1274681
18464,36536
14491,1293877
5484,1281608
16115,1295676
24043,1298729
25015,1299835
3459,1276545
3223,1273113
15690,1295049
13900,
12950,1289341
6094,1282141
14027,1293377
13389,1290205
24804,1299563
14682,1294041
2312,1241154
3148,1273800
2881,1266155
2857,
1075,
7499,1283756
14474,1293860
22657,1297930
3029,1271467
14405,1293791
2954,1266171
14485,1293870
3081,
13330,1290077
1908,
3030,1271466
14915,1294284
57,
2824,1266137
14932,1294296
14433,1293820
2843,1268401
22656,1297929
3031,1271465
3032,1271464
2069,
15086,1294429
16139,1295708
3002,
1954,
5549,1281707
15886,1295428
2858,
2793,1266118
3088,
12942,1289330
2167,
2855,
2856,
14703,
13969,1293324
3674,1278278
2807,1267572
2872,
13194,
13682,1290738
2871,
1686,
2841,
564,
24511,1299133
3125,1273554
1199,
2080,
2392,
1571,
16576,1296297
14047,1293391
2838,1266141
20774,1297078
2213,
1639,
13961,1293313
601,
3311,1275322
6671,1282961
14401,1293781
2140,
13138,24781
2940,1253101
2007,
2290,1229621
13906,1291036
1744,
2516,1262591
1658,
1670,
14206,1293497
15060,1294411
2962,1269878
1787,
3052,
3019,1271156
2500,
3358,1275831
16275,1295909
3664,1278137
3025,
3145,1273556
16432,4444
3229,1274703
3055,
7034,1283225
1073,
2791,
513,
1028,
15263,
14261,1293576
2812,1267572
3051,
13040,1289444
2033,
2559,1262602
4397,1275323
16486,1296148
13877,1289343
3402,1276067
2457,
3609,1277359
3658,1278111
24701,1299336
2776,
3440,1276380
13974,1293315
14373,49226
1968,
139,
1762,
13876,1289343
13354,1290129
14011,1293367
1713,
2296,
542,
25000,1299828
2322,1241566
119,
16456,1296122
2212,1225459
1542,
1534,
25001,1299829
9245,1285040
16377,228272
2185,1222751
112,
1043,
4232,1279576
15890,1295431
1833,
141,
1238,
1852,
6080,237606
550,
1211,
1049,
3775,1278744
2186,1222751
2071,
16499,1296160
1922,
13266,1289785
122,
13397,1290221
14452,1293839
2628,1262611
515,
15950,1295497
3356,1275826
2719,1264381
30,
16604,1296326
478,
82,
2627,1262610
549,
10799,1287327
14785,1294154
14864,1294235
14462,1293850
16165,1295744
3322,1275497
1033,
2027,
2195,
2506,1257768
13703,1290783
14480,1293866
36,
13295,1289997
1795,
625,
5219,1281248
1400,
13660,1290704
1501,
1422,
3621,1277504
597,
13023,1289445
563,
1507,
14335,1293721
1031,
2165,
1769,
13873,1290972
1700,
516,
2720,1264382
631,
16500,1296161
16277,1295910
2208,1224589
613,
14828,1294190
14935,1294300
13527,81609
5021,1275447
3441,1276381
2587,
16317,1295946
4496,1280092
16318,1295947
151,
2152,1214160
2390,
3339,1275563
1488,
2174,
3636,5178
6150,
15080,1294428
1559,
581,
1626,
1946,5151
1805,
2370,
2715,1264377
14249,1293644
15264,1294623
2586,
18860,1296619
14589,379956
2570,
2564,
2284,
15954,1295501
2746,1289544
2645,
2184,1222752
2242,
2294,
166,
24603,1299278
2258,
14862,1294230
62,
2179,
6548,1282763
2244,
2300,
13441,1290331
2568,
2172,
2569,
2488,
2148,
13433,1290311
18499,1223113
3355,1275825
1654,
17805,1296482
5018,1280994
13461,1290362
17049,1296400
3281,1275102
1943,
1485,
3357,1275830
2432,
2331,
1407,
12782,1289099
14676,
14267,1293650
16402,1296046
1693,
18200,1296529
1836,
6052,1282137
14029,1293375
2077,
146,
2280,
2380,
12920,1289281
1515,
1576,
94,
1503,
1620,
1847,
1500,
21566,1297312
1999,
5016,1280985
1844,
14361,1293723
496,
15568,1294960
15468,1294832
3216,1274687
2727,1264388
16487,1296149
2862,1266150
1845,
37,
20081,1296784
13934,1293260
2594,
8288,1284215
21005,1297151
16414,1296062
13679,1290742
2076,
14966,1294324
14023,1293375
15118,1294454
16222,133658
13064,
16416,1296063
17870,1296488
1543,
2223,
1835,
1479,
14921,1294270
1632,
1318,
1792,
16382,1296007
13462,1290363
1850,
16163,
1539,
1806,
18135,1296521
1486,
2497,
5103,1280983
1848,
13231,1289748
454,
13776,36934
15956,1295503
1636,
2573,
1637,
2469,
17377,1296440
1460,
1522,
1853,
13874,51749
720,
16605,1296327
2470,
1768,
1441,
1612,
2236,
738,
152,
1210,
1494,
1741,
14327,1293669
2231,
14928,1294293
32,
1496,
13465,1290366
1502,
2232,
16385,1296010
5351,1281410
1614,
14354,1293735
13668,1290705
14253,1293646
173,
16386,1296011
16553,24288
4362,1279926
16453,1296120
2094,
5586,1281775
2028,
14010,1293366
16339,1295972
2143,
1206,
3876,135518
13955,89537
14304,1293688
3701,1278460
1405,
8222,1284149
13606,1290517
3618,224824
1531,
2382,
19,
2310,
1870,
1625,
2237,1222024
2329,
2571,
15358,1294722
2574,
50,
1728,
1871,
1911,
24041,1298727
19092,1296701
1520,
14561,1293940
13469,1290370
14365,1293746
1613,
1854,
1611,
7497,1283754
2086,
12878,1289240
23,
1819,
13739,1290816
13911,1291039
1604,
100,
3653,1277879
14422,1293808
182,
14731,1294107
16061,1295614
6045,1282137
2233,
16,
13855,983403
184,
14388,1293770
2265,
15098,1294440
1873,
12488,1288910
12711,1289099
14938,1294303
14784,1294154
15164,1294513
5101,1281128
13861,1290911
12879,1289178
15359,1294723
12944,1289332
12529,1288944
5090,1275447
5781,1281380
3644,1277864
1874,
1519,
16417,1296070
2176,
17640,26479
2051,
22755,1298058
18137,1296523
3395,1276057
3690,1278295
2173,
14248,1293576
2228,1226040
15550,1294942
13529,1290501
1425,
2363,
2403,
13540,1290517
2575,
1802,
1212,
1180,
13508,1290445
3495,1276931
14385,1293763
1048,
51,
1685,
2430,
13012,1289435
18762,1296599
17576,1296458
15429,1294789
16226,1295818
5099,1281126
16548,1296272
18167,1296528
2405,
1429,
2354,
16555,1296283
2576,
3378,1276050
1784,
1580,
5012,1275447
494,
15803,1295160
13931,1293257
14850,1294213
1731,
1748,
3624,1277692
12945,1289333
6085,1282137
577,
1041,
1903,
8454,1284447
27,
71,
1240,
21962,1297513
13908,50963
21963,1297514
14891,1294250
4466,1280062
3515,1277090
2328,
12527,1288942
13859,26870
12683,1289062
6083,114740
158,
603,
157,
6089,1282137
13142,1228762
25,
14732,1294108
2615,
13836,1290933
12789,1289182
599,
15031,1294380
64,
136,
156,
1828,
16418,1296071
543,
14362,1293743
16556,1296284
24008,1298726
14383,1293746
12787,1289179
18763,1296600
7398,1283655
14211,1293576
18764,1296601
14116,1293373
3109,1273413
14214,1293587
14965,1294323
1679,
13262,1289783
16502,1296163
1849,
13723,1290803
15961,1295508
3443,1276380
624,
15088,1294421
3513,1276784
13020,1289440
14964,1294322
14896,1294255
555,
14926,1294289
9279,1285007
2159,
1046,
4467,1280060
1952,
13678,1290741
1872,
14050,1293396
452,
1683,
18201,1296530
5550,1281346
1593,
14337,1293722
2664,
2132,
14139,1293490
1962,
3414,1276218
3448,1276386
16351,1295986
5385,1281476
16344,1295981
22688,1298016
3496,1276933
19322,1296783
14005,1293357
25230,1300155
14527,1293920
2970,1266176
14453,1293840
1189,
14982,1294342
24044,1298730
18038,1296513
18299,1296540
2194,
17016,1296393
14001,
2414,
13242,1217468
3649,672877
6312,1282468
3446,1276385
1821,
2723,
3490,1276783
2041,
1829,
2419,
2406,
14859,89655
3699,1278331
2593,
1521,
1890,
1730,
2349,
2364,
2031,
1909,
2225,
13909,1291037
14919,1294285
13858,1281641
1470,
130,
3336,1275560
1498,
2324,
5015,1280984
2471,
2404,
13963,1293314
2209,1224664
2514,1262589
1705,
2378,
2591,
3522,1277137
1540,
2703,
2398,
2072,
2168,
16046,1295603
15964,1295511
2624,1262608
1188,
2018,
12908,1289264
2451,
1732,
2286,
1736,
18696,1296596
2014,
1454,
2081,
2142,
545,
2149,
1944,
15077,1294429
2166,
2588,
1627,
2577,
1716,
14271,1293659
1804,
5585,1281774
2410,
1027,
2087,
17017,1296394
2393,
2084,
1689,
1667,
6091,1282136
2323,
5097,1280971
2222,
1807,
1584,
5098,1280971
13912,79635
2098,
16610,1296338
2299,
14792,1294159
63,
1512,
181,
1511,
2332,
16379,1296004
2438,
2082,
2158,
1037,
1510,
2338,
17243,1296424
2345,
2288,1211449
1601,
15965,1295512
2585,
1635,
1680,
1638,
2433,
2447,
2295,
1747,
2515,1262590
2260,1229622
2298,
13683,1290744
3343,1275712
467,
3027,
3028,
3026,
1237,
1241,
2201,1223970
3168,
3319,1275495
13879,1290980
3239,1274686
3667,1278264
2563,
2017,
3089,
14051,1293397
14991,1294351
503,
502,
3217,1211449
3166,
3070,
13,
1134,
2580,
2400,
2182,1222024
2136,
3184,1274011
2293,
2138,
2477,
2297,
1894,
53,
14246,1293642
483,
2582,
1695,
2519,1296544
2372,
2381,
2584,
3360,1275833
1655,
1682,
16568,1296290
2479,
25231,1300156
1524,
2339,
1631,
15966,1295513
1453,
2334,
2496,
3300,
4559,474174
2565,
1557,
2688,1264364
183,
1042,
2589,
2135,
15069,1294420
40,
2141,
2034,
2562,
2590,
2368,1250054
1674,
5013,1280970
12786,1289178
8453,1284446
1581,
1764,
2458,
2566,
2254,
1560,
121,
2417,
1045,
2115,
1487,
2494,
15595,1294980
2452,
2219,
2472,
1533,
11588,
8486,1284479
3639,1277853
2337,
11722,1287846
2234,
2134,
159,
1770,
12784,1289099
2625,1262608
1717,
24307,1298900
2230,
2302,
1745,
16381,1296006
1475,
567,
1481,
1797,
1772,
5120,1281179
14324,1293650
3627,1277839
14332,1293719
2309,1241155
1582,
1893,
2160,
1773,
3345,1275759
2567,
16250,1295861
54,
6051,1282136
607,
1735,
14310,1293696
2119,
11926,
14272,1293660
1525,
2437,
13875,1290977
15386,1294744
22097,1297604
14028,1293375
3473,
482,
120,
14897,1294256
1737,
1868,
2124,
16615,1296342
3673,1275556
13310,1290043
1823,
12282,1288604
2304,
2068,
41,
13568,1290554
2114,
59,
1729,
16352,1295987
2009,
58,
18497,1296553
129,
55,
1786,
2493,
23024,1298143
2467,1257770
2492,
2049,
1734,
2153,
1838,
1069,
2352,
1047,
1038,
1538,
25232,1300157
3099,1273063
1663,
1780,
1072,
2190,
2074,
2256,1228492
5003,
2102,
14969,1294330
2078,
2193,
2501,
2016,
2064,
2224,
3833,1279001
2238,1226571
2691,1264367
1739,
2259,
1133,
113,
93,
2263,
2362,1249118
2502,
374,
1678,
3437,1276377
2218,
5006,1280973
2305,
2315,1241567
1583,
1659,
2216,1225459
1527,
13680,1290738
13898,28815
1447,
1034,
13144,28399
1192,
3120,1273074
1513,
1387,
14774,1294147
3497,1276934
1554,
644,
1463,
3390,1276058
3342,1275711
1207,
522,
1424,
14135,1293489
16509,1296178
1803,
1071,
1204,
1187,
3657,1278110
1208,
1194,
135,
3175,1273094
1209,
565,
3203,1273106
22131,1297609
2301,
12646,1289041
1977,
1445,
1452,
17507,1296449
1216,
1178,
1444,
1426,
137,
1202,
13886,26287
3635,1277850
1262,
1450,
1664,
1472,
1215,
1687,
1203,
3487,1276783
584,
1702,
1213,
618,
2023,
1517,
4361,1279925
1532,
492,
16488,1296150
13583,1290578
11927,
493,
495,
15,
13973,1293328
1201,
16485,1296147
576,
1197,
13339,1290090
1196,
506,
1420,
1190,
108,
2604,1262605
